parent;                           child;                                     factor
SE|Hydrogen;FE|CDR|+|Hydrogen;1
SE|Hydrogen;SE|Input|Hydrogen|Electricity|+|Normal Turbines;1
SE|Hydrogen;SE|Input|Hydrogen|Electricity|+|Forced VRE Turbines;1
SE|Hydrogen;SE|Input|Hydrogen|Synthetic Fuels|+|Liquids;1
SE|Hydrogen;SE|Input|Hydrogen|Synthetic Fuels|+|Gases;1
SE|Hydrogen;SE|Input|Hydrogen|Other Energy System Consumption;1
;;
# check balance of carbon sources and carbon sinks for carbon management variables;;
Carbon Management|Carbon Capture;Carbon Management|Storage;1
Carbon Management|Carbon Capture;Carbon Management|Usage;1
Carbon Management|Carbon Capture;Carbon Management|Venting of Captured Carbon;1
;;
# check consistency of DACCS reporting;;
Carbon Sequestration|Direct Air Capture;Emi|CO2|CDR|DACCS;-1
;;
# check Energy Investments subcategories;;
Energy Investments|Supply|Electricity|Generation|++|Fossil;Energy Investments|Supply|Electricity|Generation|+|Coal;1
Energy Investments|Supply|Electricity|Generation|++|Fossil;Energy Investments|Supply|Electricity|Generation|+|Gas;1
Energy Investments|Supply|Electricity|Generation|++|Fossil;Energy Investments|Supply|Electricity|Generation|+|Oil;1
Energy Investments|Supply|Electricity|Generation|Non-Fossil|++|Non-Bio Re;Energy Investments|Supply|Electricity|Generation|+|Hydro;1
Energy Investments|Supply|Electricity|Generation|Non-Fossil|++|Non-Bio Re;Energy Investments|Supply|Electricity|Generation|+|Geothermal;1
Energy Investments|Supply|Electricity|Generation|Non-Fossil|++|Non-Bio Re;Energy Investments|Supply|Electricity|Generation|+|Wind;1
Energy Investments|Supply|Electricity|Generation|Non-Fossil|++|Non-Bio Re;Energy Investments|Supply|Electricity|Generation|+|Solar;1
Energy Investments|Supply|Heat|Fossil;Energy Investments|Supply|Heat|+|Gas;1
Energy Investments|Supply|Heat|Fossil;Energy Investments|Supply|Heat|+|Coal;1
